Year,Institute,Opening Rank,Closing Rank
2016,Indian Institute of Information Technology Manipur,32911,36738
2017,Indian Institute of Information Technology Manipur,24055,32662
2018,Indian Institute of Information Technology Manipur,28434,37102
2020,Indian Institute of Information Technology Manipur,36557,41632
2021,Indian Institute of Information Technology Manipur,37665,45842
2022,Indian Institute of Information Technology Manipur,34836,43500
2016,Indian Institute of Information Technology Srirangam Tiruchirappalli,9792,21144
2017,Indian Institute of Information Technology Srirangam Tiruchirappalli,8017,16463
2018,Indian Institute of Information Technology Srirangam Tiruchirappalli,14214,19263
2020,Indian Institute of Information Technology Srirangam Tiruchirappalli,16151,16151
2017,Indian Institute of Information Technology Surat,11361,23582
2018,Indian Institute of Information Technology Surat,11274,22615
2020,Indian Institute of Information Technology Surat,10770,22325
2021,Indian Institute of Information Technology Surat,11420,21541
2022,Indian Institute of Information Technology Surat,10052,20029
2023,Indian Institute of Information Technology Surat,16458,23303
2021,Indian Institute of Information Technology Tiruchirappalli,14915,22826
2022,Indian Institute of Information Technology Tiruchirappalli,15806,24320
2023,Indian Institute of Information Technology Tiruchirappalli,22539,28888
2016,Indian Institute of Information Technology(IIIT) Dharwad,16961,27653
2017,Indian Institute of Information Technology(IIIT) Dharwad,12996,25421
2018,Indian Institute of Information Technology(IIIT) Dharwad,14980,29713
2020,Indian Institute of Information Technology(IIIT) Dharwad,16874,34219
2021,Indian Institute of Information Technology(IIIT) Dharwad,18532,31578
2022,Indian Institute of Information Technology(IIIT) Dharwad,18547,30859
2023,Indian Institute of Information Technology(IIIT) Dharwad,1377,34597
2016,Indian Institute of Information Technology(IIIT) Kalyani West Bengal,14831,29433
2017,Indian Institute of Information Technology(IIIT) Kalyani West Bengal,17874,28146
2018,Indian Institute of Information Technology(IIIT) Kalyani West Bengal,23064,31953
2020,Indian Institute of Information Technology(IIIT) Kalyani West Bengal,10559,36362
2021,Indian Institute of Information Technology(IIIT) Kalyani West Bengal,17817,36909
2022,Indian Institute of Information Technology(IIIT) Kalyani West Bengal,14734,33997
2023,Indian Institute of Information Technology(IIIT) Kalyani West Bengal,22025,37195
2016,Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,11079,22651
2017,Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,14220,19588
2018,Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,14604,20329
2020,Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,9711,17628
2021,Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,12776,18513
2022,Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,12675,20072
2023,Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,17023,25572
2016,Indian Institute of Information Technology(IIIT) Kottayam,16999,29215
2017,Indian Institute of Information Technology(IIIT) Kottayam,15487,26685
2018,Indian Institute of Information Technology(IIIT) Kottayam,12012,30196
2020,Indian Institute of Information Technology(IIIT) Kottayam,23504,34017
2021,Indian Institute of Information Technology(IIIT) Kottayam,16262,32140
2022,Indian Institute of Information Technology(IIIT) Kottayam,17854,32181
2023,Indian Institute of Information Technology(IIIT) Kottayam,17100,31998
2016,Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,14849,26260
2017,Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,20898,24545
2018,Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,17533,27081
2020,Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,22660,30776
2021,Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,23500,32165
2022,Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,17616,26667
2023,Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,25078,25851
2018,Indian Institute of Information Technology(IIIT) Sri City Chittoor,8184,21104
2020,Indian Institute of Information Technology(IIIT) Sri City Chittoor,14201,28394
2021,Indian Institute of Information Technology(IIIT) Sri City Chittoor,16429,26606
2022,Indian Institute of Information Technology(IIIT) Sri City Chittoor,10891,26257
2023,Indian Institute of Information Technology(IIIT) Sri City Chittoor,11064,27829
2017,Indian Institute of Information Technology(IIIT) Sri City Chittoor,9762,20472
2016,Indian Institute of Information Technology(IIIT) Sri City Chittoor,6576,21653
2016,Indian Institute of Information Technology(IIIT) Vadodara Gujrat,12685,23662
2017,Indian Institute of Information Technology(IIIT) Vadodara Gujrat,7198,21134
2018,Indian Institute of Information Technology(IIIT) Vadodara Gujrat,14760,25998
2020,Indian Institute of Information Technology(IIIT) Vadodara Gujrat,10073,21250
2021,Indian Institute of Information Technology(IIIT) Vadodara Gujrat,11022,19199
2022,Indian Institute of Information Technology(IIIT) Vadodara Gujrat,10581,19963
2023,Indian Institute of Information Technology(IIIT) Vadodara Gujrat,14349,21987
2020,Indian Institute of Information Technology Agartala,19979,39147
2021,Indian Institute of Information Technology Agartala,35596,40963
2022,Indian Institute of Information Technology Agartala,15707,33713
2023,Indian Institute of Information Technology Agartala,22126,35192
2018,Indian Institute of Information Technology Design & Manufacturing Kancheepuram,8115,15067
2020,Indian Institute of Information Technology Design & Manufacturing Kancheepuram,8686,17414
